id,name,involveAs,profile_id,created_at,updated_at
1,"ค่ายJSTP 3/1",เจ้าหน้าที่,1,"2010-05-29 04:04:35","2010-05-29 04:04:35"
2,"ค่าย JSTP 8/1",นักเรียน,4,"2010-06-01 02:37:16","2010-06-01 02:37:16"
3,"กิจกรรมค่ายวิทยาศาสตร์ รุ่น11-13",เจ้าหน้าที่,7,"2010-06-14 10:07:50","2010-06-14 10:07:50"
4,,เจ้าหน้าที่,8,"2010-06-14 10:10:47","2010-06-14 10:10:47"
5,"ค่าย 12/1 วันที่ 4-9 พ.ค.52 (มจธ.-มก.-ม.ศิลปากร สนามจันทร์)",นักเรียน,9,"2010-06-16 03:35:36","2010-06-16 03:40:15"
6,"ค่ายย่อย 12 ครั้งที่ 1 วันที่ 4-6 ก.ค.52 (มจธ.) ",นักเรียน,9,"2010-06-16 03:37:46","2010-06-16 03:38:23"
7,"ค่าย 12/2 วันที่ 16-20 ต.ค.52 (มก.)",นักเรียน,9,"2010-06-16 03:40:02","2010-06-16 03:40:02"
8,"ค่ายย่อย 12 ครั้งที่ 2 วันที่ 5-7 ธ.ค.52 (ดอยเชียงดาว)",นักเรียน,9,"2010-06-16 03:41:17","2010-06-16 03:41:17"
9,"ค่าย 12/1 วันที่ 4-9 พ.ค.52 (มจธ.-มก.-ม.ศิลปากร สนามจันทร์)",นักเรียน,10,"2010-06-16 04:04:06","2010-06-16 04:04:06"
10,"ค่ายย่อย 12 ครั้งที่ 1 วันที่ 4-6 ก.ค.52 (มจธ.)",นักเรียน,10,"2010-06-16 04:04:33","2010-06-16 04:04:33"
11,"ค่าย 12/2 วันที่ 16-20 ต.ค.52 (มก.)",นักเรียน,10,"2010-06-16 04:05:14","2010-06-16 04:05:14"
12,"ค่ายย่อย 12 ครั้งที่ 2 วันที่ 5-7 ธ.ค.52 (ดอยเชียงดาว)",นักเรียน,10,"2010-06-16 04:05:47","2010-06-16 04:05:47"
13,"ค่าย 12/1 วันที่ 4-9 พ.ค.52 (มจธ.-มก.-ม.ศิลปากร สนามจันทร์)",นักเรียน,11,"2010-06-16 04:24:30","2010-06-16 04:24:30"
14,"ค่ายย่อย 12 ครั้งที่ 1 วันที่ 4-6 ก.ค.52 (มจธ.)",นักเรียน,11,"2010-06-16 04:25:26","2010-06-16 04:25:26"
15,"ค่าย 12/2 วันที่ 16-20 ต.ค.52 (มก.)",นักเรียน,11,"2010-06-16 04:25:37","2010-06-16 04:25:37"
16,"ค่ายย่อย 12 ครั้งที่ 2 วันที่ 5-7 ธ.ค.52 (ดอยเชียงดาว)",นักเรียน,11,"2010-06-16 04:26:27","2010-06-16 04:26:27"
17,"ค่าย 12/3 วันที่ 2-8 เม.ย.2553 (ม.วลัยลักษณ์)",นักเรียน,11,"2010-06-16 04:27:18","2010-06-16 04:27:18"
18,"ค่าย 12/3 วันที่ 2-8 เม.ย.2553 (ม.วลัยลักษณ์)",นักเรียน,9,"2010-06-16 04:28:33","2010-06-16 04:28:33"
19,"ค่าย 12/1 วันที่ 4-9 พ.ค.52 (มจธ.-มก.-ม.ศิลปากร สนามจันทร์)",นักเรียน,12,"2010-06-16 04:38:20","2010-06-16 04:38:20"
20,"ค่ายย่อย 12 ครั้งที่ 1 วันที่ 4-6 ก.ค.52 (มจธ.)",นักเรียน,12,"2010-06-16 04:39:53","2010-06-16 04:39:53"
21,"ค่าย 12/2 วันที่ 16-20 ต.ค.52 (มก.)",นักเรียน,12,"2010-06-16 04:40:21","2010-06-16 04:40:21"
22,"ค่ายย่อย 12 ครั้งที่ 2 วันที่ 5-7 ธ.ค.52 (ดอยเชียงดาว)",นักเรียน,12,"2010-06-16 04:40:50","2010-06-16 04:40:50"
23,"ค่าย 12/3 วันที่ 2-8 เม.ย.2553 (ม.วลัยลักษณ์)",นักเรียน,12,"2010-06-16 04:41:03","2010-06-16 04:41:03"
24,"ค่าย 12/1 วันที่ 4-9 พ.ค.52 (มจธ.-มก.-ม.ศิลปากร สนามจันทร์)",นักเรียน,13,"2010-06-16 04:49:36","2010-06-16 04:49:36"
25,"ค่ายย่อย 12 ครั้งที่ 1 วันที่ 4-6 ก.ค.52 (มจธ.)",นักเรียน,13,"2010-06-16 04:50:01","2010-06-16 04:50:01"
26,"ค่ายย่อย 12 ครั้งที่ 2 วันที่ 5-7 ธ.ค.52 (ดอยเชียงดาว)",นักเรียน,13,"2010-06-16 04:50:29","2010-06-16 04:50:29"
27,"ค่าย 12/3 วันที่ 2-8 เม.ย.2553 (ม.วลัยลักษณ์)",นักเรียน,13,"2010-06-16 04:50:44","2010-06-16 04:50:44"
28,"ค่าย 12/1 วันที่ 4-9 พ.ค.52 (มจธ.-มก.-ม.ศิลปากร สนามจันทร์)",นักเรียน,14,"2010-06-16 04:55:35","2010-06-16 04:55:35"
29,"ค่ายย่อย 12 ครั้งที่ 1 วันที่ 4-6 ก.ค.52 (มจธ.)",นักเรียน,14,"2010-06-16 04:55:59","2010-06-16 04:55:59"
30,"ค่าย 12/2 วันที่ 16-20 ต.ค.52 (มก.)",นักเรียน,14,"2010-06-16 04:56:21","2010-06-16 04:56:21"
31,"ค่าย 12/3 วันที่ 2-8 เม.ย.2553 (ม.วลัยลักษณ์)",นักเรียน,14,"2010-06-16 04:56:47","2010-06-16 04:56:47"
